Company Name,Website,Founders,Founded Year,Business Model,Technical,stage,Latest Round,Funding Trajectory,Investors,Valuation,source：,last_researched
STRATUM AI,https://stratum.gs/,"Farzi Yusufali (CEO, Co-founder), Daniel Mogilny (CTO, Co-founder, UofT machine intelligence)","2019/2020 (Toronto, Canada;Y Combinator W20)","B2B AI resource-modeling SaaS + Forward-Deployed 服务,面向 production-stage mines (gold/copper/base metals);资本极精简 (YC 起步),Palantir 式深度部署 (嵌入工程师)",Deep Learning —— 替代传统 geostatistical interpolation (kriging) 做 3D orebody/grade 建模。产品 SAIGE (Stratum AI Geospatial Estimator) + SATS (Targeting System);输入 mine-site 真实数据 (diamond/RC drillholes + grade control + blastholes + rock-chip)。报道效果:+32% oz/drill-metre、+43–56% 预测精度、misclassified waste 至 -73%。已部署 Australia/Brazil/Canada/Kazakhstan/PNG/Chile/Peru/US,Production-stage mines + brownfield (明确 NOT greenfield —— 核心定位差异),"Seed · $150K · Aug 2020 (led by Y Combinator, W20 batch)","Founded 2019/2020 → Creative Destruction Lab → YC Seed $150K (Aug 2020);后续融资未在公开数据库,资本高效","Y Combinator (lead, W20), Builders VC, Soma Capital, J Seventeen Capital",未公开 (YC $150K seed;无估值披露),"https://www.ycombinator.com/companies/stratumai
https://miningbeacon.com/company/stratum-ai",
geopyörä (breakage test),https://www.geopyora.com/,"Marcos de Paiva Bueno (Founder) — Geopyörä Oy, Oulu, Finland","2020 (Oulu, Finland)",Mining-tech 硬件 + 数据 —— patented 低成本 breakage-testing 设备 (counter-rotating wheels) + 全球 lab network 提供测试服务;嵌入 mine planning / processing workflow;real-time ore characterization system 在研,"物理 breakage 测试 + 机器学习/DNN —— 用 counter-rotating wheels 破碎小样本,测 force/energy/t10;Deep Neural Network (训练于全球数据库) 直接预测标准 comminution 参数 Axb/DWI/SPI/BWI/BBMWi。属 geometallurgy / comminution characterization,而非 mineral-targeting AI",Geometallurgy / comminution design + process control (resource characterization + processing 优化),"Seed (led by Chrysalix Venture Capital, via Industrial Innovation Fund;金额未披露)",2020 成立 → Seed (Chrysalix Venture Capital);资金用于扩商业部署 + 全球 lab network + next-gen real-time 系统,Chrysalix Venture Capital (Industrial Innovation Fund),未公开 (Seed;金额/估值未披露),"https://arcticstartup.com/geopyora-raises-seed-funding/
https://www.geopyora.com/technical-information",
EARTHGRID,https://earthgrid.io/,"Troy Helming (Founder & CEO, 连续创业者 — Tradewind Energy/Pristine Sun), Scott Lane (Co-Founder)","2016 (Point Richmond / Bay Area, California, US;EarthGrid PBC)","⚠️ 非 mining-AI exploration —— plasma tunnel-boring 基础设施公司;BOOM (Build-Own-Operate-Maintain) + BADASS 服务模式,为电网/光纤/公用事业挖地下隧道;与 EnerTech (Kuwait Investment Authority entity) 合资计划部署 $18B 美国地下管网","⚠️ 非 AI —— 专利 Plasma Excavation System (PES):太阳能/电动机器人 + 多个 plasma torches 通过 spallation 气化岩石,声称比传统 boring 快 100× / 成本低 95–98%;无 drilling mud / 无炸药。已在 Sierra granite、挪威 Statnett 硬岩测试","⚠️ 不适用 (infrastructure tunneling,非 mineral exploration lifecycle)",Seed · $30M · 2023 (2× oversubscribed);累计 ~$50M,Founder 2016-2021 $13M → 2022 Pre-Seed $7M (3× oversubscribed) → 2023 Seed $30M (2× oversubscribed);累计 ~$50M (含 VC + crowdfunding),AngelList / Netcapital crowdfunding + 战略伙伴 EnerTech (KIA);早期 W Fund 等,未公开,"https://www.prnewswire.com/ae/news-releases/earthgrid-announces-groundbreaking-joint-venture-with-enertech-a-kia-entity-to-deploy-18b-in-us-underground-utility-projects-302250009.html
https://netcapital.com/companies/earthgrid",
QUAISE,https://www.quaise.com/,"Carlos Araque (Co-Founder & CEO, MIT '01/SM'02, 前 Schlumberger), Matt Houde (Co-Founder);scientific co-founder Paul Woskov (MIT Plasma Science & Fusion Center)","2018 (Cambridge, MA, US;MITEI + The Engine spinout)","⚠️ 非 mining-AI exploration —— deep geothermal energy 公司;用 millimeter-wave 钻井解锁 10–20km 超深 geothermal,目标把燃煤电厂改造为 geothermal wells,提供 terawatt-scale clean baseload power","⚠️ 非 AI —— gyrotron 产生 millimeter-wave (毫米波) 能量,melt + vaporize 岩石替代机械钻头 (源自 MIT Plasma Science & Fusion Center 约 15 年研究)。2024 在 Houston 全尺寸油井 demo (100kW gyrotron);可在 granite 以 ~5 m/hr 推进","⚠️ 不适用 (geothermal drilling,非 mineral exploration)","Series A 扩至 $52M (Jun 2022,+$12M led by TechEnergy Ventures);累计 ~$95M+",MITEI 早期资助 → 2018 spinout → Series A $40M (Safar Partners 领) 扩至 $52M (Jun 2022);2022 累计 raised $75M → ~$95M+ (后续),"Safar Partners (lead), Prelude Ventures, TechEnergy Ventures (Tecpetrol/Techint), HostPlus, Xplorer Capital, Fine Structure Ventures, The Engine, Collaborative Fund, Nabors Energy Transition Ventures","~$250M (per 2026 报道,estimated;早期未披露)","https://www.businesswire.com/news/home/20220608005232/en/Quaise-Energy-Expands-Series-A-to-%2452M-to-Unlock-Terawatt-Scale-Geothermal-Energy
https://energy.mit.edu/news/mitei-spinout-quaise-energy-successfully-demonstrates-their-geothermal-energy-drilling-technology-in-the-field/",
HYPER SCIENCES,https://www.hypersciences.com/,"Mark C. Russell (Founder & CEO, Stanford MS Aero/Astro, 前 Blue Origin crew-capsule lead engineer;mining family background)","2014 (Spokane, WA, US;dba General Hypersonics)","⚠️ 非 AI exploration —— hypervelocity ram-accelerator 技术平台,多市场:drilling (HyperDrill)、tunneling、deep geothermal、defense/space (HAVOK);经 sponsored research (Shell GameChanger, NASA SBIR, DARPA, MDA) + crowdfunding + convertible notes 融资","⚠️ 非 AI —— ram accelerator (HyperCore):用化学能把 projectile 加速到 hypersonic (~6,700 mph, ~9× 音速) 粉碎岩石;HyperDrill 下井钻井声称比传统快 10×;HAVOK 为可复用 rocketless launch system","⚠️ 不适用 (drilling/tunneling 硬件 + defense/space,非 mineral exploration)","2026 Jan 获 MDA SHIELD IDIQ 合同 (ceiling $151B, prime);早期 ~$3.39M convertible notes + Shell/NASA non-equity grants + Reg A crowdfunding","2014 成立 → Shell GameChanger >$1M + NASA SBIR $125K (non-equity) → ~$3.39M convertible notes (angels, 2015–2018) → Reg A+ crowdfunding → DARPA/DoD SBIR Phase II → 2026 MDA SHIELD IDIQ","angel investors, W Fund, Cowles Company, EnergeticX/Mark Russell;non-equity:Shell GameChanger, NASA, DARPA, MDA",未公开,"https://www.geekwire.com/2018/hypersciences-wins-support-ram-accelerator-nasa-shell-crowdfunding/
https://www.einpresswire.com/article/884992271/hypersciences-dba-general-hypersonics-selected-as-prime-in-latest-round-of-mda-s-151b-shield-idiq-awards",
ROCKBURST TECHNOLOGIES,https://www.rockburst.tech/,"Oscar Malpica (Co-Founder & CEO), Cliff Edwards (Co-Founder), Chuck Lee (Co-Founder) — subsidiary of Envisioning Labs","2020 (Vancouver, BC, Canada)",⚠️ 非 AI exploration (comminution cleantech) —— CoreBurst / transcritical CO2 pulverization;卖给 mining (+ cement/recycling) 降低 grinding 能耗并附带 carbon sequestration;以非稀释 grants + 服务合同 + seed 为主,"⚠️ 非 AI —— transcritical CO2 (tCO2) pulverization:利用岩石抗张强度比抗压低 10–30×,用加压 CO2 从内部 tensile 破碎 ore (closed-loop 压力容器);声称省能 ~50–55% 并封存 CO2。源于 NRCan ""Crush It!"" Challenge (2019)","⚠️ Comminution / ore processing (mineral processing 环节,非 exploration)",Grant-II / Pre-Seed 阶段 (累计 ~$6M 多为非稀释;正募 ~C$1.5–2M seed 做工业 pilot),"2019 NRCan Crush It! 6 强 → seed grant 造原型 → NorthX Climate Tech $500K 非稀释 + 政府 grants + 服务合同;累计 ~$6M,募 seed 建工业 pilot","NorthX Climate Tech, Chrysalix Venture Capital, BHP, Innovate BC, Natural Resources Canada, BC Hydro, Government of South Australia, NSERC/Mitacs, MICA, NRC-IRAP, UBC, Foresight Cleantech Accelerator, Creative Destruction Lab",未公开,"https://mine.nridigital.com/mine_jul24/ore-processing-innovation-rockburst-co2-pulverization
https://www.rockburst.tech/",
HEPHAE,https://www.hephaeet.com/,"Steve Krase (CEO & Co-Founder), John Clegg (CTO & Co-Founder) — 团队分布 Houston / Spain / UK","2020 (Houston, TX, US — Hephae Energy Technology)","⚠️ 非 AI exploration —— next-gen geothermal 使能技术公司;开发 ultra-high-temperature 下井电子/传感器 + 集成钻井系统,让 superhot-rock geothermal 商业化 (24/7 carbon-free baseload)","⚠️ 非 AI —— ultra-high-temperature downhole electronics & sensors (耐 >300°C),整合进 high-temperature Measurement-While-Drilling (MWD) 系统,精确放置 next-gen geothermal wells;产品 Pandora210™、Hermes Top-Mount Pulser","⚠️ 不适用 (geothermal drilling 使能硬件,非 mineral exploration)","Series A · $6.35M · Sep 20, 2024 (有报道一轮 $4M led by Underground Ventures)","2020 成立 → Series A $6.35M (Sep 2024, led by Underground Ventures);累计 >$10M (含早期)","Underground Ventures (lead), Future Ventures, Grantham Foundation, Exascale Fund, Nabors Industries",未公开,"https://www.world-energy.org/article/46282.html
https://www.hephaeet.com/about-us/",
Lithosquare,https://lithosquare.com,"Aymeric Préveral-Etcheverry (CEO & Co-Founder, mining engineer), Simon Leclair (Founding COO)","2024 (Paris, France)","Partnership-based exploration with outcome-dependent revenue sharing — earns returns when discoveries become producing mines rather than charging SaaS licenses; working with mining companies across US, Europe, Africa and Latin America on copper, rare earths, and lithium targets","Geology-informed foundational AI platform combining geological expertise with ML to automate mineral exploration; identifies mineral locations, traces formation sources, tracks metal-bearing fluid movement, and detects structural deposit traps; focuses on greenfield and frontier areas (e.g. Botswana, Morocco); claims to reduce analysis timelines from months to days and increase exploration efficiency up to 10x",Early-stage exploration + greenfield targeting (Targeting -> Discovery -> Delineation pipeline),Seed · $25M (EUR 22M) · May 2026 (co-led by World Fund and Kindred Capital),"Pre-Seed (previously unannounced, undisclosed amount) -> Seed $25M / EUR 22M (May 2026, World Fund + Kindred Capital co-lead); total ~$25M+","World Fund (co-lead), Kindred Capital (co-lead), Daphni, Omnes Capital, Ovni Capital","Undisclosed (Seed $25M May 2026, no valuation disclosed)","https://techfundingnews.com/lithosquare-25m-world-fund-kindred-capital-mining/
https://www.finsmes.com/2026/05/lithosquare-raises-25m-in-seed-funding.html
https://www.eu-startups.com/2026/05/paris-based-lithosquare-raises-e21-4-million-to-accelerate-transition-critical-mineral-discovery-with-geology-ai/
https://www.miningweekly.com/article/aterian-partners-with-lithosquare-on-ai-driven-exploration-programme-2025-12-09",
KoBold Metals,https://koboldmetals.com,"Kurt Zenz House (CEO & Co-Founder), Josh Goldman (President & Co-Founder), Jeff Jurinak (Co-Founder)","2018 (Berkeley / San Francisco, CA, USA)","Vertically integrated AI mineral exploration and development company — self-discovers, funds, and develops critical mineral projects (copper, nickel, cobalt, lithium); monetizes through project equity and JVs rather than SaaS licensing; flagship: Mingomba copper deposit in Zambia (described as highest-grade Zambian copper discovery in a century); targeting IPO within 3-5 years; mission: 'expand and diversify the global supply of critical resources essential for prosperity, energy technology, AI, and security'",Two proprietary AI platforms: (1) TerraShed — analyzes 100+ years of public and private geological data to create subsurface visualizations; (2) Machine Prospector — identifies previously unknown mineral deposit locations using predictive ML. Trained on geophysics + geochemistry + drilling records; addresses <0.3% industry success rate for viable discoveries; AI-first geoscience data integration across exploration campaigns,Greenfield exploration + mine development (full lifecycle: AI targeting -> field drilling -> deposit development and ownership),Series C Second Extension · ~$163-280M · Nov 2025 (lead investors not publicly disclosed); prior: Series C Extension · $537M · Jan 2025 (co-led Durable Capital Partners + T. Rowe Price),"Series A $20M (Mar 2019, a16z + Breakthrough Energy) -> Series B $192.5M (Feb 2022, T. Rowe Price lead, CPP + BHP + Standard Investments + Apollo Projects) -> Series C $195M (Jun 2023, T. Rowe Price lead, Equinor + BHP + Mitsubishi + Earthshot + July Fund) -> Series C Extension $537M (Jan 2025, Durable Capital + T. Rowe co-lead, $2.96B valuation) -> Series C Second Extension ~$163-280M (Nov 2025, undisclosed lead); Total raised: ~$1.22B+","Series A (Mar 2019): Andreessen Horowitz (a16z), Breakthrough Energy Ventures. Series B (Feb 2022): T. Rowe Price (lead), Canada Pension Plan Investment Board (CPP Investments), BHP Ventures, Standard Investments, Apollo Projects. Series C (Jun 2023): T. Rowe Price (lead), Equinor Ventures, BHP Ventures, Mitsubishi Corporation, Earthshot Ventures, July Fund, Standard Investments. Series C Extension (Jan 2025): Durable Capital Partners (co-lead), T. Rowe Price (co-lead), Andreessen Horowitz Growth (a16z), Breakthrough Energy Ventures, Bond Capital, Earthshot VC, Equinor, Mitsubishi, Standard Investments, StepStone Group, WCM Investment Management. Series C Second Extension (Nov 2025): ~$163-280M, lead not publicly disclosed. Individual angels: Jeff Bezos, Reid Hoffman, Bill Gates (personal), Jack Ma, John Zimmer (Lyft co-founder). Total: 21+ investors across 5 rounds; ~$1.22B+ raised.","USD $2.96B (post-Series C, Jan 2025 — confirmed multiple sources); implied ~$4.17B post-Nov 2025 extension (per Clay/Tracxn)","https://www.clay.com/dossier/kobold-metals-funding
https://techcrunch.com/2025/01/02/kobold-used-ai-to-find-copper-now-investors-are-piling-in-to-the-tune-of-537m/
https://fortune.com/2025/01/02/kobold-mining-jeff-bezos-bill-gates-investment-round-copper-lithium/
https://www.mining.com/gates-bazos-backed-kobold-metals-raises-537-million-in-race-for-critical-minerals/
https://tracxn.com/d/companies/kobold-metals/__KK3gPYnO6jr7fYSlEpK6nkY-72DH8gB2QJpVVQGuNZg/funding-and-investors
https://www.caproasia.com/2025/01/03/ai-powered-mining-mineral-startup-kobold-metals-raised-537-million-in-series-c-funding-at-2-9-billion-valuation-raised-total-of-1-billion-from-investors-include-durable-capital-partners-t-rowe-p/
https://koboldmetals.com",2026-05-31T04:00:00.000Z
Veracio,https://www.veracio.com,"N/A (wholly-owned subsidiary of Boart Longyear, est. 1890); leadership: JT Clark (CEO, ex-BCG Global Mining Practice lead), Mike Ravella (CIO, founder of predecessor Geological Data Services division), Jeff Olsen (Chairman, Boart Longyear CEO)",2023 (launched Feb 2023 as Veracio; predecessor Geological Data Services division developed 10+ years inside Boart Longyear),"B2B mining technology services as Boart Longyear (ASX: BLY) wholly-owned subsidiary — hardware sensing + AI cloud platform for orebody data; no external VC; acquired Minalyze (Sweden, Sep 2023, $29.3M) adding automated XRF core scanning","Multi-sensor hardware suite: TruScan (field sample analysis), TruSub (rod-string technology for downhole sensing during drilling), TruProbe (downhole sensing without logging trucks) + integrated cloud AI platform; XRF geochemistry + structural + geotechnical analysis; Minalyze acquisition adds automated XRF core scanning with AI geology interpretation",Multi-stage: exploration + economic modeling + mine design + production optimization (brownfield + greenfield),N/A — no external funding rounds; wholly funded by parent Boart Longyear (ASX: BLY); Minalyze acquisition $29.3M (Sep 2023),No external venture rounds; Boart Longyear (ASX: BLY) sole backer; Minalyze acquisition Sep 2023 ($29.3M),Boart Longyear (ASX: BLY) — sole parent and funder; no external VC,Undisclosed (private subsidiary of Boart Longyear; no separate valuation disclosed),"https://www.globenewswire.com/news-release/2023/02/22/2613166/0/en/Boart-Longyear-Introduces-Veracio-a-Bigger-Vision-for-Smarter-Data-at-a-Smaller-Footprint.html
https://www.boartlongyear.com/wp-content/uploads/ASX-Announcement-Boart-Longyear-Veracio-Unit-to-Acquire-Minalyze-19-Sept-2023-FINAL.pdf
https://www.veracio.com/
https://www.crunchbase.com/organization/veracio",
OreFox AI,https://orefox.com,"Warwick Anderson (CEO & Co-Founder, QUT researcher), Sheree Anderson (Co-Founder, QUT researcher); commercializing research from Queensland University of Technology","2017 (Brisbane, Queensland, Australia; originally Quantum Geology Pty Ltd)","B2B AI geoscience services + software for mineral exploration — targeting studies, ore-grade analysis, automated geological mapping; clients include Gold Mines Australia, PYBAR Mining, St Barbara Limited, Oz Minerals; NVIDIA Inception member; developing subsidiary products porphyry.ai and GeoDesk","AI + machine learning + geospatial data analysis integrating geological, geophysical, and geochemical datasets; two proprietary AI targeting tools: Prospector AI (broad exploration) and Hunter AI (focused ore-grade targeting); automated geological mapping and mineral target identification; strategic partnership with Esri (GIS); won Unearthed Explorer Challenge Genius Prize",Early-stage exploration and prospecting (target generation and targeting optimization),Undisclosed small rounds (METS Ignited Queensland Government fund + QUT Bluebox early backing + QuantumTX / 77 Partners investment); no major disclosed VC round,QUT Bluebox early seed -> METS Ignited Queensland Government grant -> investment from QuantumTX + 77 Partners; no major disclosed round; total raised undisclosed,"QUT Bluebox Pty Ltd (QUT venture arm), QuantumTX, 77 Partners, METS Ignited (Queensland Government-backed)",Undisclosed (no major VC round; small-scale funding),"https://orefox.com/about-us/
https://im-mining.com/2021/08/10/mets-ignited-backed-program-fund-orefoxs-ai-exploration-ambitions/
https://www.amsj.com.au/orefox-attracts-investment-in-ai-geological-data-analysis/
https://www.australianmining.com.au/orefox-funding-to-boost-qld-critical-mineral-discoveries/
https://www.crunchbase.com/organization/orefox",
VRIFY,https://vrify.com,"Steve de Jong (Founder & CEO), Jean-Philippe Paiement (CTO, geologist, won $1M Integra Gold Rush Challenge 2016)","Vancouver, BC, Canada (exact founding year not publicly confirmed; Series A May 2023 implies founded ~2018-2021)","B2B SaaS AI exploration intelligence platform — DORA (AI-assisted prospectivity mapping) + VRIFY Present (3D visualization for investor communications); ~200 companies across 70 countries; team of 35+ geoscientists, data scientists and developers; sold directly to geologists and geoscientists at mining companies","Deep learning models + proprietary geological dataset (described as one of the industry's largest); DORA = Exploration Intelligence platform for prospectivity mapping, transforming multivariate geoscience datasets into actionable mineral targets with data-driven explanations; 26 early-adopter DORA clients including Canterra Resources, RUA Gold, Southern Cross Gold",Greenfield exploration targeting + prospectivity mapping (pre-drill targeting intelligence),"Series B · CAD$12.5M · Feb 2025 (led by LGVP, Itai Tsiddon / Lightricks co-founder)","Series A CAD$6M (May 2023, RCF Innovation + Beedie Capital) -> Series B CAD$12.5M (Feb 2025, LGVP lead + RCF Innovation + Beedie Capital follow-on); total >CAD$30M raised","LGVP (Series B lead, Itai Tsiddon — Lightricks co-founder), RCF Innovation (Resource Capital Funds), Beedie Capital","Undisclosed (Series B CAD$12.5M Feb 2025, no valuation disclosed)","https://www.canadianminingjournal.com/news/vrify-raises-12-5m-to-advance-the-worlds-first-ai-assisted-mineral-discovery-platform/
https://www.newswire.ca/news-releases/vrify-lands-12-5m-series-b-to-advance-dora-the-world-s-first-ai-assisted-mineral-discovery-platform-828597303.html
https://www.bctechnology.com/news/2025/2/27/Vancouver-based-VRIFY-Raises-12.5-Million-Series-B-Financing-to-Develop-AI-Assisted-Mineral-Discovery-Platform.cfm
https://vrify.com/",
Minerva Intelligence,https://minervaintelligence.com,Founding team not fully disclosed; CEO: Scott Tillman (also manages Pi Consulting LLC); COO: Jake McGregor,"~2000 (Vancouver, BC, Canada; 20+ years operating; TSX-V listed as MVAI, potentially renamed to Aisix Solutions / AISX)",B2B cognitive AI SaaS for earth sciences — TERRA Mining AI Suite for mineral exploration + GAIA Suite for natural hazard mapping; small-cap public company (TSX-V); knowledge engineering approach with explainable AI; ~21 employees; ~$1.8M revenue reported (2021),"Proprietary AI reasoning / knowledge engineering technology (explainable AI, not conventional deep learning); TERRA Mining AI Suite: SolACE (data preparation for AI), Target (cognitive AI for surface exploration data evaluation), DRIVER (cognitive AI for mine/exploration drilling data analysis), LEO (document management optimized for AI interoperability); processes geological, geochemical, drill data; emphasizes human-readable reasoning chains",Full exploration lifecycle: surface exploration targeting (TARGET) + drilling data analysis (DRIVER) + data management (SolACE + LEO),Small private placement (CEO Scott Tillman purchased 2M shares at $0.075/share); no major disclosed VC round; publicly listed TSX-V (MVAI / possibly now AISX),Public listing TSX-V as MVAI (symbol possibly changed to AISX / Aisix Solutions); small private placements; no major VC rounds disclosed; revenues ~$1.8M (2021),Public shareholders (TSX-V); no notable institutional VC backers identified,Micro-cap public company (shares at $0.075 implies extremely small market cap; no formal valuation disclosed),"https://minervaintelligence.com/
https://www.newswire.ca/news-releases/minerva-intelligence-inc-provides-corporate-update-853153966.html
https://simplywall.st/stocks/ca/software/tsxv-mvai/minerva-intelligence-shares
https://tracxn.com/d/companies/minerva-ai/__NIPXznweKvt3FuKcxphjSNpAol1ax47hpPzWS-XzqD4",
